"acq_date","acq_hour","areaid","collar_id","animaltype"
20170313,3,24,21917,"Moose"
20170313,4,24,21917,"Moose"
20170313,5,24,21917,"Moose"
20170313,6,27,21917,"Moose"
20170313,7,27,21917,"Moose"
20170313,8,27,21917,"Moose"
20170313,9,27,21917,"Moose"
20170313,10,27,21917,"Moose"
20170313,11,27,21917,"Moose"
20170313,12,27,21917,"Moose"
20170313,13,27,21917,"Moose"
20170313,14,27,21917,"Moose"
20170313,15,27,21917,"Moose"
20170313,16,27,21917,"Moose"
20170313,17,27,21917,"Moose"
20170313,18,24,21917,"Moose"
20170313,19,31,21917,"Moose"
20170313,20,31,21917,"Moose"
20170313,21,31,21917,"Moose"
20170313,22,31,21917,"Moose"
20170313,23,31,21917,"Moose"
20170314,0,31,21917,"Moose"
20170314,1,31,21917,"Moose"
20170314,2,31,21917,"Moose"
20170314,3,31,21917,"Moose"
20170314,4,31,21917,"Moose"
20170314,5,31,21917,"Moose"
20170314,6,31,21917,"Moose"
20170314,7,31,21917,"Moose"
20170314,8,31,21917,"Moose"
20170314,9,31,21917,"Moose"
20170314,10,31,21917,"Moose"
20170314,11,31,21917,"Moose"
20170314,12,31,21917,"Moose"
20170314,13,27,21917,"Moose"
20170314,14,27,21917,"Moose"
20170314,15,27,21917,"Moose"
20170314,16,27,21917,"Moose"
20170314,17,27,21917,"Moose"
20170314,18,27,21917,"Moose"
20170314,19,27,21917,"Moose"
20170314,20,27,21917,"Moose"
20170314,21,27,21917,"Moose"
20170314,22,27,21917,"Moose"
20170314,23,27,21917,"Moose"
20170315,0,27,21917,"Moose"
20170315,1,27,21917,"Moose"
20170315,2,27,21917,"Moose"
20170315,3,27,21917,"Moose"
20170315,4,27,21917,"Moose"
20170315,5,27,21917,"Moose"
20170315,6,27,21917,"Moose"
20170315,7,27,21917,"Moose"
20170315,8,27,21917,"Moose"
20170315,9,27,21917,"Moose"
20170315,10,27,21917,"Moose"
20170315,11,27,21917,"Moose"
20170315,12,27,21917,"Moose"
20170315,13,27,21917,"Moose"
20170315,14,27,21917,"Moose"
20170315,15,27,21917,"Moose"
20170315,16,27,21917,"Moose"
20170315,17,27,21917,"Moose"
20170315,18,27,21917,"Moose"
20170315,19,27,21917,"Moose"
20170315,20,27,21917,"Moose"
20170315,21,27,21917,"Moose"
20170315,22,27,21917,"Moose"
20170315,23,27,21917,"Moose"
20170316,0,27,21917,"Moose"
20170316,1,27,21917,"Moose"
20170316,2,27,21917,"Moose"
20170316,3,27,21917,"Moose"
20170316,4,27,21917,"Moose"
20170316,5,27,21917,"Moose"
20170316,6,27,21917,"Moose"
20170316,7,27,21917,"Moose"
20170316,8,27,21917,"Moose"
20170316,9,27,21917,"Moose"
20170316,10,27,21917,"Moose"
20170316,11,27,21917,"Moose"
20170316,12,27,21917,"Moose"
20170316,13,27,21917,"Moose"
20170316,14,27,21917,"Moose"
20170316,15,27,21917,"Moose"
20170316,16,27,21917,"Moose"
20170316,17,31,21917,"Moose"
20170316,18,31,21917,"Moose"
20170316,19,31,21917,"Moose"
20170316,20,31,21917,"Moose"
20170316,21,31,21917,"Moose"
20170316,22,31,21917,"Moose"
20170316,23,31,21917,"Moose"
20170317,0,31,21917,"Moose"
20170317,1,31,21917,"Moose"
20170317,2,31,21917,"Moose"
20170317,3,31,21917,"Moose"
20170317,4,31,21917,"Moose"
20170317,5,31,21917,"Moose"
20170317,6,31,21917,"Moose"
20170317,7,31,21917,"Moose"
20170317,8,31,21917,"Moose"
20170317,9,31,21917,"Moose"
20170317,10,27,21917,"Moose"
20170317,11,27,21917,"Moose"
20170317,12,27,21917,"Moose"
20170317,13,27,21917,"Moose"
20170317,14,27,21917,"Moose"
20170317,15,27,21917,"Moose"
20170317,16,27,21917,"Moose"
20170317,17,31,21917,"Moose"
20170317,18,31,21917,"Moose"
20170317,19,31,21917,"Moose"
20170317,20,31,21917,"Moose"
20170317,21,31,21917,"Moose"
20170317,22,31,21917,"Moose"
20170317,23,31,21917,"Moose"
20170318,0,31,21917,"Moose"
20170318,1,31,21917,"Moose"
20170318,2,31,21917,"Moose"
20170318,3,31,21917,"Moose"
20170318,4,31,21917,"Moose"
20170318,5,31,21917,"Moose"
20170318,6,31,21917,"Moose"
20170318,7,31,21917,"Moose"
20170318,8,31,21917,"Moose"
20170318,9,31,21917,"Moose"
20170318,10,27,21917,"Moose"
20170318,11,27,21917,"Moose"
20170318,12,27,21917,"Moose"
20170318,13,27,21917,"Moose"
20170318,14,27,21917,"Moose"
20170318,15,27,21917,"Moose"
20170318,16,27,21917,"Moose"
20170318,17,27,21917,"Moose"
20170318,18,27,21917,"Moose"
20170318,19,27,21917,"Moose"
20170318,20,27,21917,"Moose"
20170318,21,27,21917,"Moose"
20170318,22,27,21917,"Moose"
20170318,23,24,21917,"Moose"
20170319,0,24,21917,"Moose"
20170319,1,31,21917,"Moose"
20170319,2,31,21917,"Moose"
20170319,3,31,21917,"Moose"
20170319,4,31,21917,"Moose"
20170319,5,31,21917,"Moose"
20170319,6,31,21917,"Moose"
20170319,7,27,21917,"Moose"
20170319,8,24,21917,"Moose"
20170319,9,24,21917,"Moose"
20170319,10,24,21917,"Moose"
20170319,11,24,21917,"Moose"
20170319,12,24,21917,"Moose"
20170319,13,24,21917,"Moose"
20170319,14,24,21917,"Moose"
20170319,15,24,21917,"Moose"
20170319,16,24,21917,"Moose"
20170319,17,24,21917,"Moose"
20170319,18,24,21917,"Moose"
20170319,19,24,21917,"Moose"
20170319,20,24,21917,"Moose"
20170319,21,24,21917,"Moose"
20170319,22,24,21917,"Moose"
20170319,23,24,21917,"Moose"
20170320,0,24,21917,"Moose"
20170320,1,24,21917,"Moose"
20170320,2,24,21917,"Moose"
20170320,3,24,21917,"Moose"
20170320,4,24,21917,"Moose"
20170320,5,24,21917,"Moose"
20170320,6,24,21917,"Moose"
20170320,7,24,21917,"Moose"
20170320,8,24,21917,"Moose"
20170320,9,24,21917,"Moose"
20170320,10,24,21917,"Moose"
20170320,11,24,21917,"Moose"
20170320,12,24,21917,"Moose"
20170320,13,24,21917,"Moose"
20170320,14,24,21917,"Moose"
20170320,15,24,21917,"Moose"
20170320,16,24,21917,"Moose"
20170320,17,24,21917,"Moose"
20170320,18,24,21917,"Moose"
20170320,19,24,21917,"Moose"
20170320,20,24,21917,"Moose"
20170320,21,24,21917,"Moose"
20170320,22,24,21917,"Moose"
20170320,23,24,21917,"Moose"
20170321,0,24,21917,"Moose"
20170321,1,24,21917,"Moose"
20170321,2,24,21917,"Moose"
20170321,3,24,21917,"Moose"
20170321,4,24,21917,"Moose"
20170321,5,24,21917,"Moose"
20170321,6,27,21917,"Moose"
20170321,7,27,21917,"Moose"
20170321,8,27,21917,"Moose"
20170321,9,27,21917,"Moose"
20170321,10,27,21917,"Moose"
20170321,11,27,21917,"Moose"
20170321,12,27,21917,"Moose"
20170321,13,27,21917,"Moose"
20170321,14,27,21917,"Moose"
20170321,15,27,21917,"Moose"
20170321,16,27,21917,"Moose"
20170321,17,27,21917,"Moose"
20170321,18,27,21917,"Moose"
20170321,19,27,21917,"Moose"
20170321,20,27,21917,"Moose"
20170321,21,27,21917,"Moose"
20170321,22,27,21917,"Moose"
20170321,23,27,21917,"Moose"
20170322,0,27,21917,"Moose"
20170322,1,27,21917,"Moose"
20170322,2,27,21917,"Moose"
20170322,3,27,21917,"Moose"
20170322,4,27,21917,"Moose"
20170322,5,27,21917,"Moose"
20170322,6,27,21917,"Moose"
20170322,7,27,21917,"Moose"
20170322,8,27,21917,"Moose"
20170322,9,27,21917,"Moose"
20170322,10,27,21917,"Moose"
20170322,11,27,21917,"Moose"
20170322,12,27,21917,"Moose"
20170322,13,27,21917,"Moose"
20170322,14,27,21917,"Moose"
20170322,15,27,21917,"Moose"
20170322,16,27,21917,"Moose"
20170322,17,27,21917,"Moose"
20170322,18,27,21917,"Moose"
20170322,19,27,21917,"Moose"
20170322,20,27,21917,"Moose"
20170322,21,27,21917,"Moose"
20170322,22,27,21917,"Moose"
20170322,23,27,21917,"Moose"
20170323,0,27,21917,"Moose"
20170323,1,27,21917,"Moose"
20170323,2,27,21917,"Moose"
20170323,3,27,21917,"Moose"
20170323,4,27,21917,"Moose"
20170323,5,27,21917,"Moose"
20170323,6,27,21917,"Moose"
20170323,7,27,21917,"Moose"
20170323,8,27,21917,"Moose"
20170323,9,27,21917,"Moose"
20170323,10,27,21917,"Moose"
20170323,11,27,21917,"Moose"
20170323,12,27,21917,"Moose"
20170323,13,27,21917,"Moose"
20170323,14,27,21917,"Moose"
20170323,15,27,21917,"Moose"
20170323,16,27,21917,"Moose"
20170323,17,27,21917,"Moose"
20170323,18,27,21917,"Moose"
20170323,19,27,21917,"Moose"
20170323,20,27,21917,"Moose"
20170323,21,27,21917,"Moose"
20170323,22,27,21917,"Moose"
20170323,23,27,21917,"Moose"
20170324,0,27,21917,"Moose"
20170324,1,27,21917,"Moose"
20170324,2,27,21917,"Moose"
20170324,3,27,21917,"Moose"
20170324,4,27,21917,"Moose"
20170324,5,27,21917,"Moose"
20170324,6,27,21917,"Moose"
20170324,7,27,21917,"Moose"
20170324,8,27,21917,"Moose"
20170324,9,27,21917,"Moose"
20170324,10,27,21917,"Moose"
20170324,11,27,21917,"Moose"
20170324,12,27,21917,"Moose"
20170324,13,27,21917,"Moose"
20170324,14,27,21917,"Moose"
20170324,15,27,21917,"Moose"
20170324,16,27,21917,"Moose"
20170324,17,27,21917,"Moose"
20170324,18,27,21917,"Moose"
20170324,19,27,21917,"Moose"
20170324,20,27,21917,"Moose"
20170324,21,27,21917,"Moose"
20170324,22,27,21917,"Moose"
20170324,23,27,21917,"Moose"
20170325,0,27,21917,"Moose"
20170325,1,27,21917,"Moose"
20170325,2,27,21917,"Moose"
20170325,3,27,21917,"Moose"
20170325,4,27,21917,"Moose"
20170325,5,27,21917,"Moose"
20170325,6,27,21917,"Moose"
20170325,7,27,21917,"Moose"
20170325,8,27,21917,"Moose"
20170325,9,27,21917,"Moose"
20170325,10,27,21917,"Moose"
20170325,11,27,21917,"Moose"
20170325,12,27,21917,"Moose"
20170325,13,27,21917,"Moose"
20170325,14,27,21917,"Moose"
20170325,15,27,21917,"Moose"
20170325,16,27,21917,"Moose"
20170325,17,27,21917,"Moose"
20170325,18,27,21917,"Moose"
20170325,19,27,21917,"Moose"
20170325,20,27,21917,"Moose"
20170325,21,27,21917,"Moose"
20170325,22,27,21917,"Moose"
20170325,23,27,21917,"Moose"
20170326,0,27,21917,"Moose"
20170326,1,27,21917,"Moose"
20170326,2,27,21917,"Moose"
20170326,3,27,21917,"Moose"
20170326,4,27,21917,"Moose"
20170326,5,27,21917,"Moose"
20170326,6,27,21917,"Moose"
20170326,7,27,21917,"Moose"
20170326,8,27,21917,"Moose"
20170326,9,27,21917,"Moose"
20170326,10,27,21917,"Moose"
20170326,11,27,21917,"Moose"
20170326,12,27,21917,"Moose"
20170326,13,27,21917,"Moose"
20170326,14,27,21917,"Moose"
20170326,15,27,21917,"Moose"
20170326,16,27,21917,"Moose"
20170326,17,27,21917,"Moose"
20170326,18,27,21917,"Moose"
20170326,19,27,21917,"Moose"
20170326,20,27,21917,"Moose"
20170326,21,27,21917,"Moose"
20170326,22,27,21917,"Moose"
20170326,23,27,21917,"Moose"
20170327,0,27,21917,"Moose"
20170327,1,27,21917,"Moose"
20170327,2,27,21917,"Moose"
20170327,3,27,21917,"Moose"
20170327,4,27,21917,"Moose"
20170327,5,27,21917,"Moose"
20170327,6,27,21917,"Moose"
20170327,7,27,21917,"Moose"
20170327,8,27,21917,"Moose"
20170327,9,27,21917,"Moose"
20170327,10,27,21917,"Moose"
20170327,11,27,21917,"Moose"
20170327,12,27,21917,"Moose"
20170327,13,27,21917,"Moose"
20170327,14,27,21917,"Moose"
20170327,15,27,21917,"Moose"
20170327,16,27,21917,"Moose"
20170327,17,27,21917,"Moose"
20170327,18,27,21917,"Moose"
20170327,19,27,21917,"Moose"
20170327,20,27,21917,"Moose"
20170327,21,27,21917,"Moose"
20170327,22,27,21917,"Moose"
20170327,23,27,21917,"Moose"
20170328,0,27,21917,"Moose"
20170328,1,27,21917,"Moose"
20170328,2,27,21917,"Moose"
20170328,3,27,21917,"Moose"
20170328,4,27,21917,"Moose"
20170328,5,27,21917,"Moose"
20170328,6,27,21917,"Moose"
20170328,7,27,21917,"Moose"
20170328,8,27,21917,"Moose"
20170328,9,27,21917,"Moose"
20170328,10,27,21917,"Moose"
20170328,11,27,21917,"Moose"
20170328,12,27,21917,"Moose"
20170328,13,27,21917,"Moose"
20170328,14,27,21917,"Moose"
20170328,15,27,21917,"Moose"
20170328,16,27,21917,"Moose"
20170328,17,27,21917,"Moose"
20170328,18,27,21917,"Moose"
20170328,19,27,21917,"Moose"
20170328,20,27,21917,"Moose"
20170328,21,27,21917,"Moose"
20170328,22,27,21917,"Moose"
20170328,23,27,21917,"Moose"
20170329,0,27,21917,"Moose"
20170329,1,27,21917,"Moose"
20170329,2,27,21917,"Moose"
20170329,3,27,21917,"Moose"
20170329,4,27,21917,"Moose"
20170329,5,27,21917,"Moose"
20170329,6,27,21917,"Moose"
20170329,7,27,21917,"Moose"
20170329,8,27,21917,"Moose"
20170329,9,27,21917,"Moose"
20170329,10,27,21917,"Moose"
20170329,11,27,21917,"Moose"
20170329,12,27,21917,"Moose"
20170329,13,27,21917,"Moose"
20170329,14,27,21917,"Moose"
20170329,15,27,21917,"Moose"
20170329,16,27,21917,"Moose"
20170329,17,27,21917,"Moose"
20170329,18,27,21917,"Moose"
20170329,19,27,21917,"Moose"
20170329,20,27,21917,"Moose"
20170329,21,27,21917,"Moose"
20170329,22,27,21917,"Moose"
20170329,23,27,21917,"Moose"
20170330,0,27,21917,"Moose"
20170330,1,27,21917,"Moose"
20170330,2,27,21917,"Moose"
20170330,3,27,21917,"Moose"
20170330,4,27,21917,"Moose"
20170330,5,27,21917,"Moose"
20170330,6,27,21917,"Moose"
20170330,7,27,21917,"Moose"
20170330,8,27,21917,"Moose"
20170330,9,27,21917,"Moose"
20170330,10,27,21917,"Moose"
20170330,11,27,21917,"Moose"
20170330,12,27,21917,"Moose"
20170330,13,27,21917,"Moose"
20170330,14,27,21917,"Moose"
20170330,15,27,21917,"Moose"
20170330,16,27,21917,"Moose"
20170330,17,27,21917,"Moose"
20170330,18,27,21917,"Moose"
20170330,19,27,21917,"Moose"
20170330,20,24,21917,"Moose"
20170330,21,24,21917,"Moose"
20170330,22,24,21917,"Moose"
20170330,23,24,21917,"Moose"
20170331,0,24,21917,"Moose"
20170331,1,31,21917,"Moose"
20170331,2,31,21917,"Moose"
20170331,3,31,21917,"Moose"
20170331,4,31,21917,"Moose"
20170331,5,31,21917,"Moose"
20170331,6,31,21917,"Moose"
20170331,7,31,21917,"Moose"
20170331,8,31,21917,"Moose"
20170331,9,31,21917,"Moose"
20170331,10,31,21917,"Moose"
20170331,11,31,21917,"Moose"
20170331,12,31,21917,"Moose"
20170331,13,31,21917,"Moose"
20170331,14,31,21917,"Moose"
20170331,15,27,21917,"Moose"
20170331,16,27,21917,"Moose"
20170331,17,27,21917,"Moose"
20170331,18,27,21917,"Moose"
20170331,19,27,21917,"Moose"
20170331,20,27,21917,"Moose"
20170331,21,27,21917,"Moose"
20170331,22,27,21917,"Moose"
20170331,23,31,21917,"Moose"
20170401,0,31,21917,"Moose"
20170401,1,31,21917,"Moose"
20170401,2,31,21917,"Moose"
20170401,3,31,21917,"Moose"
20170401,4,31,21917,"Moose"
20170401,5,24,21917,"Moose"
20170401,6,27,21917,"Moose"
20170401,7,27,21917,"Moose"
20170401,8,27,21917,"Moose"
20170401,9,27,21917,"Moose"
20170401,10,27,21917,"Moose"
20170401,11,27,21917,"Moose"
20170401,12,27,21917,"Moose"
20170401,13,27,21917,"Moose"
20170401,14,27,21917,"Moose"
20170401,15,27,21917,"Moose"
20170401,16,27,21917,"Moose"
20170401,17,27,21917,"Moose"
20170401,18,27,21917,"Moose"
20170401,19,27,21917,"Moose"
20170401,20,27,21917,"Moose"
20170401,21,27,21917,"Moose"
20170401,22,27,21917,"Moose"
20170401,23,27,21917,"Moose"
20170402,0,27,21917,"Moose"
20170402,1,27,21917,"Moose"
20170402,2,27,21917,"Moose"
20170402,3,27,21917,"Moose"
20170402,4,27,21917,"Moose"
20170402,5,27,21917,"Moose"
20170402,6,27,21917,"Moose"
20170402,7,27,21917,"Moose"
20170402,8,27,21917,"Moose"
20170402,9,27,21917,"Moose"
20170402,10,27,21917,"Moose"
20170402,11,27,21917,"Moose"
20170402,12,27,21917,"Moose"
20170402,13,27,21917,"Moose"
20170402,14,27,21917,"Moose"
20170402,15,27,21917,"Moose"
20170402,16,27,21917,"Moose"
20170402,17,27,21917,"Moose"
20170402,18,27,21917,"Moose"
20170402,19,27,21917,"Moose"
20170402,20,27,21917,"Moose"
20170402,21,27,21917,"Moose"
20170402,22,27,21917,"Moose"
20170402,23,27,21917,"Moose"
20170403,0,27,21917,"Moose"
20170403,1,27,21917,"Moose"
20170403,2,24,21917,"Moose"
20170403,3,27,21917,"Moose"
20170403,4,27,21917,"Moose"
20170403,5,27,21917,"Moose"
20170403,6,27,21917,"Moose"
20170403,7,27,21917,"Moose"
20170403,8,27,21917,"Moose"
20170403,9,27,21917,"Moose"
20170403,10,27,21917,"Moose"
20170403,11,27,21917,"Moose"
20170403,12,27,21917,"Moose"
20170403,13,27,21917,"Moose"
20170403,14,27,21917,"Moose"
20170403,15,27,21917,"Moose"
20170403,16,27,21917,"Moose"
20170403,17,27,21917,"Moose"
20170403,18,27,21917,"Moose"
20170403,19,27,21917,"Moose"
20170403,20,27,21917,"Moose"
20170403,21,27,21917,"Moose"
20170403,22,27,21917,"Moose"
20170403,23,27,21917,"Moose"
20170404,0,27,21917,"Moose"
20170404,1,27,21917,"Moose"
20170404,2,27,21917,"Moose"
20170404,3,27,21917,"Moose"
